id,title,status,created_at,updated_at,completed_at,full_name,email,phone,data.ort-abhol,data.plz-abhol,data.land-abhol,data.urlaub-bis,data.urlaub-von,data.email-abhol,data.ort-rechnung,data.plz-rechnung,data.land-rechnung,data.telefon-abhol,data.anrede-rechnung,data.e-mail-rechnung,data.firmenname-abhol,data.hidden-abregmail,data.plz-adresszusatz,data.telefon-rechnung,data.vorname-rechnung,data.nachname-rechnung,data.adresszusatz-abhol,data.ort-ruecklieferung,data.plz-ruecklieferung,data.regenerations-code,data.land-ruecklieferung,data.oeffnungszeiten-feld,data.sonstige-anmerkungen,data.adresszusatz-rechnung,data.e-mail-ruecklieferung,data.patrone-abholbereit-ab,data.regenerations-cmd-code,data.telefon-ruecklieferung,data.strassehausnummer-abhol,data.mel-adem-53-seriennummer,data.praxisname-ruecklieferung,data.strasse-hausnummer-rechnung,data.abweichende-rechnungsadresse,data.praxisname-firmenname-rechnung,data.abweichende-abhol-lieferadresse,data.strasse-und-hausnummer-ruecklieferung,data.wird-eine-transportverpackung-ben-tigt,data.regenerations-code-cmd
c0807ed7-f51d-4413-8a5d-bf29b4d998e6,v2: RegenerationMELADem53(C),complete,2026-04-30T10:24:48.280851+00:00,2026-04-30T10:24:48.262+00:00,2026-04-30T10:24:48.262+00:00,,,,12123,Berlin,Deutschland,,,weinhart@melag.de,,,,0307579110,,,Test Siggie,afonin@melag.de,,,,,,,,123456-MD-123456,,,,,,,,,archenhold 12,123453MD9999-1,,,false,,false,,JA,
22878784-6d85-4b10-bb41-6547dc4d08fb,v2: RegenerationMELADem53(C),complete,2026-04-30T05:23:59.625716+00:00,2026-04-30T05:23:59.604+00:00,2026-04-30T05:23:59.604+00:00,,,,Musterstadt,00000,Deutschland,,,orlowski@melag.de,,,,06450341,,,Musterpraxis,afonin@melag.de,,,,,,,,123456-MD-123456,,,d,,,2026-04-30,,,Musterstraße,123453MD1234-1,,,false,,false,,NEIN,
b81b5570-e77c-486c-b5f5-298e9a1290c3,v2: RegenerationMELADem53(C),complete,2026-04-29T16:19:35.420377+00:00,2026-04-29T16:19:35.399+00:00,2026-04-29T16:19:35.399+00:00,,,,Berlin,12345,Deutschland,,,afonin@melag.de,,,,+49 11 1,,,TEST,afonin@melag.de,,,,,Haus B,,,888888-MD-888888,,,,,,2026-04-29,123456-MC-654321,,Teststraße 4,202553MD0001-5,,,false,,false,,NEIN,
a52a5f93-d888-4a93-9d19-ad64648a8715,v2: RegenerationMELADem53(C),complete,2026-04-29T16:13:52.230215+00:00,2026-04-29T16:13:52.216+00:00,2026-04-29T16:13:52.216+00:00,,,,Berlin,12345,Deutschland,,,afonin@melag.de,,,,+49 111 1,,,TEST,afonin@melag.de,,,,,Haus B,,,888888-MD-888888,,,,,,2026-04-29,123456-MC-654321,,Teststraße 4,202553MD0001-1,,,false,,false,,NEIN,
458488c8-bd5d-4d13-a378-5d15ccbed307,v2: RegenerationMELADem53(C),complete,2026-04-29T14:06:31.939661+00:00,2026-04-29T14:06:31.913+00:00,2026-04-29T14:06:31.913+00:00,,,,sd,ds,Deutschland,,,afonin@gmail.com,,,,+49 11,,,Melag Medizintechnik,afonin@melag.de,,,,,ffd,,,123456-MD-654321,,,,,,2026-04-29,888888-MC-888888,,asd,202553CMD0001-5,,,false,,false,,NEIN,
c60bd0c6-bdd3-4cdf-864a-7fe988957903,v2: RegenerationMELADem53(C),complete,2026-04-28T10:02:11.548042+00:00,2026-04-28T10:02:11.502+00:00,2026-04-28T10:02:11.502+00:00,,,,Musterstadt,00000,Deutschland,2026-11-30,2026-04-28,orlowski@melag.de,,,,64545,,,Musterpraxis,afonin@melag.de,,,,,,,,B8CAC5-MD-E8A0E4,,jeden Tag - immer,Weil wir geil sind ,,,2026-12-01,,,Musterstraße,123453MD9999-1,,,false,,false,,NEIN,
eedfbbff-88ab-463a-b779-74991338cc29,v2: RegenerationMELADem53(C),complete,2026-04-28T09:35:18.589495+00:00,2026-04-28T09:35:18.523+00:00,2026-04-28T09:35:18.523+00:00,,,,f,fw,Deutschland,,,f@test.de,,,,032164654,,,,afonin@melag.de,,,,,,,,123456-MC-123456,,,,,,2026-04-15,,,musterstra,123453CMD1234-1,,,false,,false,,NEIN,123456-MC-123456
08a05e85-093e-4d0d-9458-c6516c946207,v2: RegenerationMELADem53(C),complete,2026-04-27T11:52:03.175406+00:00,2026-04-27T11:52:03.154+00:00,2026-04-27T11:52:03.154+00:00,,,,Musterstadt,00000,Deutschland,,,orlowski@melag.de,,,,015251235,,,Musterpraxis TEST,afonin@melag.de,,,,,,,,51E404-MD-E8CAC6,,immer,alles gut ,,,2026-04-28,,,Musterstraße,123453MD9999-1,,,false,,false,,NEIN,
cc432c09-d60d-4d72-80dc-8eb4b28479fb,v2: RegenerationMELADem53(C),complete,2026-04-27T11:49:18.390766+00:00,2026-04-27T11:49:18.371+00:00,2026-04-27T11:49:18.371+00:00,,,,Musterstadt,00000,Deutschland,,,orlowski@melag.de,,,,015524585285,,,Musterpraxis für TEST,afonin@melag.de,,,,,,,,123456-MD-123456,,immer,,,,2026-04-27,,,Musterstraße,123453MD9999-1,,,false,,false,,NEIN,51E404-MD-E8CAC6
2f1be26c-5c6d-48c0-8e09-01883e4b06c3,v2: RegenerationMELADem53(C),complete,2026-04-24T13:16:26.435395+00:00,2026-04-24T13:18:42.447+00:00,2026-04-24T13:18:42.447+00:00,Melag Marketing,melagmarketing@gmail.com,,Berlin,12345,Deutschland,,,ilja.afonin@gmail.com,,,,+49 11 11 11 1,,,Testname,afonin@melag.de,,,,,Haus B,,,12345-MD-54321,,"Mo: 9- 19 Uhr
Mo: 9- 19 Uhr
Mo: 9- 19 Uhr
Mo: 9- 19 UhrMo: 9- 19 Uhr",Vorsicht hund,,,2026-04-24,,,Teststraße 4,202553CMD0001-1,,,false,,false,,NEIN,420691-MC-420691
462fae64-5039-4361-88ff-2647a62bb75b,v2: RegenerationMELADem53(C),complete,2026-04-24T10:15:00.462054+00:00,2026-04-24T10:15:00.449+00:00,2026-04-24T10:15:00.449+00:00,,,,Hayarpi City,11111,Deutschland,,,orlowski@melag.de,,,,1111515415,,,Test Praxis Hayarpi,afonin@melag.de,,,,,,,,123456-MD-123456,,,Test,,,2026-04-24,,,Hayarpi Straße 25,123453MD1234-1,,,false,,false,,NEIN,
fc30b5e7-41e4-431d-888e-927c222abdf3,v2: RegenerationMELADem53(C),complete,2026-04-23T11:02:28.383743+00:00,2026-04-23T11:02:28.368+00:00,2026-04-23T11:02:28.368+00:00,,,,f,f,Deutschland,,,orlowski@melag.de,,,,+49 11 111,,,f,afonin@melag.de,,,,,f,,,123456-MD-654321,,"blablablabla
blabla
b",jhjhdjhsdfhsdfokjsdf,,,2026-04-23,,,f,202553MD0001-5,,,false,,false,,NEIN,
3ed1c9b6-1ca1-4b16-806e-6b5df4d147c7,v2: RegenerationMELADem53(C),complete,2026-04-21T13:25:53.372357+00:00,2026-04-21T13:25:53.339+00:00,2026-04-21T13:25:53.339+00:00,,,,Hayarpi City,11111,Deutschland,,,orlowski@melag.de,,,,1111515415,,,Test Praxis Hayarpi,afonin@melag.de,,,,,,,,123456-MD-123456,,,,,,2026-04-22,,,Hayarpi Straße 25,123453MD1234-1,,,false,,false,,NEIN,
7e0610bb-fc42-4942-a09f-5bff3bf83112,v2: RegenerationMELADem53(C),complete,2026-04-21T13:21:16.301014+00:00,2026-04-21T13:21:16.275+00:00,2026-04-21T13:21:16.275+00:00,,,,Hayarpi City,11111,Deutschland,,,orlowski@melag.de,,,,1111515415,,,Test Praxis Hayarpi,afonin@melag.de,,,,,,,,123456-MD-123456,,,,,,2026-04-22,,,Hayarpi Straße 25,123453MD1234-1,,,false,,false,,NEIN,
f61a80bf-90a9-4ebb-9b85-79c7cb9d88f1,v2: RegenerationMELADem53(C),complete,2026-04-21T10:56:26.217749+00:00,2026-04-21T10:56:26.201+00:00,2026-04-21T10:56:26.201+00:00,,,,Hayarpi City,11111,Deutschland,,,orlowski@melag.de,,,,1111515415,,,Test Praxis Hayarpi,afonin@melag.de,,,,,,,,123456-MD-123456,,,,,,2026-04-22,,,Hayarpi Straße 25,123453MD1234-1,,,false,,false,,NEIN,
a1f51591-07f5-4123-86f8-b4edeb6cb819,v2: RegenerationMELADem53(C),complete,2026-04-21T10:51:18.334473+00:00,2026-04-21T10:51:18.312+00:00,2026-04-21T10:51:18.312+00:00,,,,Hayarpi City,11111,Deutschland,,,orlowski@melag.de,,,,1111515415,,,Test Praxis Hayarpi,afonin@melag.de,,,,,,,,123456-MD-123456,,,Alle gut,,,2026-04-22,,,Hayarpi Straße 25,123453MD1234-1,,,false,,false,,NEIN,
2760d251-bdba-455a-ae0e-390393a2c98a,v2: RegenerationMELADem53(C),complete,2026-04-21T09:47:42.945365+00:00,2026-04-21T09:47:42.929+00:00,2026-04-21T09:47:42.929+00:00,Melag Marketing,melagmarketing@gmail.com,,Berlin,10829,Deutschland,,,weinhart@melag.de,,,,0307579110,,,MELAG Medizintechnik GmbH &amp; Co. KG,afonin@melag.de,,,,,,,,123456-MD-123456,,,,,,2026-04-22,,,Geneststr. 6-10,1234md1234-1,,,false,,false,,NEIN,
65885fa4-1e2c-4da4-8c76-7a43bf2e254a,v2: RegenerationMELADem53(C),complete,2026-04-21T09:32:23.123031+00:00,2026-04-21T09:32:23.094+00:00,2026-04-21T09:32:23.094+00:00,,,,Berlin,10715,Deutschland,,,arustamyan@melag.de,,,,0174501437,,,,afonin@melag.de,,,,,,,,1E537F-MD-E82CAE,,jkmm,alles ok,,,2026-04-22,,,Prinzregentenstraße,202553MD1333-1,,,false,,false,,NEIN,
